       x [in]         y [in]         z [in]    Bx [Vs/m^2]    By [Vs/m^2]    Bz [Vs/m^2]  
     -0.84058       0.257895       -18.8857  -5.64346e-022   1.15642e-005    1.9093e-005
     -0.84058       0.257895       -18.7826  -6.18713e-022   1.00133e-005   9.73344e-006
     -0.84058       0.257895       -18.6794              0    9.4581e-006              0
     -0.84058       0.361053       -20.6394   3.31836e-022   1.15074e-005   1.78222e-009
     -0.84058       0.361053       -20.5363   3.26423e-022   1.21503e-005   -8.5675e-006
     -0.84058       0.361053       -20.4331   6.37769e-022   1.39995e-005  -1.67626e-005
     -0.84058       0.361053       -20.3299              0   1.70573e-005  -2.40081e-005
     -0.84058       0.361053       -20.2268  -1.01217e-022   2.12896e-005  -2.95288e-005
     -0.84058       0.361053       -20.1236  -6.73391e-023   2.63141e-005  -3.24326e-005
     -0.84058       0.361053       -20.0205  -1.75302e-022    3.1728e-005  -3.16956e-005
     -0.84058       0.361053       -19.9173   7.33121e-022   3.68637e-005  -2.69674e-005
     -0.84058       0.361053       -19.8142    2.3773e-021   4.08779e-005  -1.81026e-005
     -0.84058       0.361053        -19.711  -1.22985e-021   4.31955e-005  -6.43791e-006
     -0.84058       0.361053       -19.6078              0   4.33137e-005   6.50704e-006
     -0.84058       0.361053       -19.5047  -7.50486e-022   4.11288e-005   1.81655e-005
     -0.84058       0.361053       -19.4015  -4.63014e-022   3.68853e-005   2.69815e-005
     -0.84058       0.361053       -19.2984  -9.80508e-023      3.19e-005   3.18346e-005
     -0.84058       0.361053       -19.1952  -5.99864e-023   2.62839e-005   3.23792e-005
     -0.84058       0.361053        -19.092   1.25524e-022   2.12284e-005   2.95128e-005
     -0.84058       0.361053       -18.9889              0   1.70576e-005   2.39766e-005
     -0.84058       0.361053       -18.8857   4.37158e-022   1.39845e-005   1.67721e-005
     -0.84058       0.361053       -18.7826   8.12056e-022    1.2136e-005   8.58221e-006
     -0.84058       0.361053       -18.6794              0    1.1509e-005              0
     -0.84058       0.464211       -20.6394  -3.85292e-022   1.22252e-005  -1.82418e-008
     -0.84058       0.464211       -20.5363   2.62337e-022   1.28738e-005  -7.32464e-006
     -0.84058       0.464211       -20.4331              0   1.47565e-005  -1.42064e-005
     -0.84058       0.464211       -20.3299  -1.07798e-022   1.78396e-005  -2.02664e-005
     -0.84058       0.464211       -20.2268  -3.03585e-022   2.20262e-005  -2.47732e-005
     -0.84058       0.464211       -20.1236  -7.05241e-023    2.7092e-005  -2.70013e-005
     -0.84058       0.464211       -20.0205   4.38707e-023   3.24275e-005  -2.62914e-005
     -0.84058       0.464211       -19.9173  -4.11149e-022   3.74817e-005  -2.21699e-005
     -0.84058       0.464211       -19.8142   7.12059e-022   4.14045e-005   -1.4902e-005
     -0.84058       0.464211        -19.711   4.22795e-022   4.37036e-005  -5.35258e-006
     -0.84058       0.464211       -19.6078   6.84128e-023   4.36026e-005   5.26411e-006
     -0.84058       0.464211       -19.5047   2.00328e-022   4.15687e-005   1.48694e-005
     -0.84058       0.464211       -19.4015     1.305e-022   3.74758e-005   2.22551e-005
     -0.84058       0.464211       -19.2984   4.20039e-023   3.24539e-005   2.64176e-005
     -0.84058       0.464211       -19.1952              0   2.70131e-005   2.70353e-005
     -0.84058       0.464211        -19.092   -1.5521e-022   2.19973e-005   2.48018e-005
     -0.84058       0.464211       -18.9889   2.24778e-022   1.77743e-005   2.02911e-005
     -0.84058       0.464211       -18.8857   2.74425e-022   1.47388e-005   1.42619e-005
     -0.84058       0.464211       -18.7826   3.72066e-022    1.2866e-005   7.32039e-006
     -0.84058       0.464211       -18.6794              0   1.22055e-005              0
     -0.84058       0.567368       -20.6394  -2.68794e-008   1.16097e-005   5.34695e-022
     -0.84058       0.567368       -20.5363   2.72095e-022    1.2159e-005  -6.12414e-006
     -0.84058       0.567368       -20.4331              0   1.38617e-005  -1.18579e-005
     -0.84058       0.567368       -20.3299  -1.33646e-022   1.66226e-005  -1.67928e-005
     -0.84058       0.567368       -20.2268  -1.03051e-022   2.03609e-005  -2.03382e-005
     -0.84058       0.567368       -20.1236  -3.39599e-022    2.4797e-005  -2.20155e-005
     -0.84058       0.567368       -20.0205  -4.05503e-022   2.94741e-005  -2.12707e-005
     -0.84058       0.567368       -19.9173              0   3.39353e-005  -1.78091e-005
     -0.84058       0.567368       -19.8142   7.93913e-023    3.7361e-005  -1.18546e-005
     -0.84058       0.567368        -19.711  -1.85257e-023   3.92455e-005  -4.16986e-006
     -0.84058       0.567368       -19.6078  -2.71808e-023   3.92987e-005   4.21596e-006
     -0.84058       0.567368       -19.5047              0    3.7401e-005   1.19661e-005
     -0.84058       0.567368       -19.4015              0   3.39972e-005   1.78433e-005
     -0.84058       0.567368       -19.2984  -1.27756e-022   2.94643e-005   2.12838e-005
     -0.84058       0.567368       -19.1952    5.7373e-023   2.47639e-005   2.20201e-005
     -0.84058       0.567368        -19.092  -2.26023e-022   2.03407e-005   2.03777e-005
     -0.84058       0.567368       -18.9889  -5.88309e-022   1.66357e-005   1.67644e-005
     -0.84058       0.567368       -18.8857   -2.9271e-022    1.3871e-005    1.1867e-005
     -0.84058       0.567368       -18.7826   4.08335e-022   1.21613e-005   6.11796e-006
     -0.84058       0.567368       -18.6794   5.16155e-022   1.15918e-005              0
     -0.84058       0.670526       -20.6394  -4.39896e-022   9.76874e-006              0
     -0.84058       0.670526       -20.5363  -4.77597e-022    1.0251e-005  -5.08633e-006
     -0.84058       0.670526       -20.4331  -1.04723e-022   1.16129e-005  -9.79203e-006
     -0.84058       0.670526       -20.3299              0   1.38329e-005  -1.38258e-005
     -0.84058       0.670526       -20.2268              0   1.67889e-005  -1.66339e-005
     -0.84058       0.670526       -20.1236  -3.20441e-022   2.02765e-005  -1.78367e-005
